Key Area,Question,Answer
"FastAPI & Web APIs","How do you handle errors and exceptions in FastAPI?","Use HTTPException for HTTP errors: raise HTTPException(status_code=404, detail="Item not found"). Create custom exception handlers using @app.exception_handler(). FastAPI provides automatic error responses with proper HTTP status codes."
"FastAPI & Web APIs","What are FastAPI's background tasks?","Background tasks allow you to run functions after returning a response. Use BackgroundTasks in dependencies and call add_task() to schedule tasks. Useful for sending emails, logging, or cleanup operations that don't need to complete before responding."
"FastAPI & Web APIs","How do you implement authentication in FastAPI?","Use OAuth2 with JWT tokens, API keys, or session-based authentication. FastAPI provides OAuth2PasswordBearer for token-based auth. Implement security dependencies and use Depends() to protect routes. Example: @app.get("/users/me", dependencies=[Depends(get_current_user)])."
"FastAPI & Web APIs","Explain FastAPI's middleware system.","Middleware functions run before requests reach route handlers and after responses are generated. Use @app.middleware("http") decorator. Common middleware includes CORS, authentication, logging, and rate limiting. Middleware can modify requests/responses or add headers."
"FastAPI & Web APIs","How do you handle file uploads in FastAPI?","Use UploadFile from fastapi: @app.post("/upload/") def upload_file(file: UploadFile = File(...)). FastAPI handles multipart/form-data automatically. You can access file content, filename, and content type. Use File() for required uploads, Optional[UploadFile] for optional."
"FastAPI & Web APIs","What is CORS and how do you handle it in FastAPI?","CORS (Cross-Origin Resource Sharing) allows web pages to make requests to different domains. Use CORSMiddleware: app.add_middleware(CORSMiddleware, allow_origins=["*"], allow_methods=["*"], allow_headers=["*"]). Configure origins, methods, and headers as needed."
"FastAPI & Web APIs","How do you implement rate limiting in FastAPI?","Use third-party libraries like slowapi or implement custom middleware. Rate limiting prevents abuse by limiting requests per time period. Example: @limiter.limit("5/minute") decorator or custom middleware that tracks requests per IP."
"FastAPI & Web APIs","Explain FastAPI's testing capabilities.","FastAPI provides TestClient for testing APIs without running a server. from fastapi.testclient import TestClient; client = TestClient(app). Use pytest for test organization. TestClient simulates HTTP requests and returns responses for assertion."
"FastAPI & Web APIs","How do you deploy FastAPI applications?","Deploy using ASGI servers like Uvicorn, Gunicorn with Uvicorn workers, or cloud platforms. Use Docker for containerization. Configure environment variables for different environments. Use reverse proxies like Nginx for production deployments."
"AI/ML & GenAI Concepts","What is Generative AI (GenAI) and how does it differ from traditional AI?","Generative AI creates new content (text, images, code) rather than just classifying or predicting. It uses large language models (LLMs) trained on vast datasets to generate human-like outputs. Traditional AI focuses on pattern recognition and decision-making."
"AI/ML & GenAI Concepts","What are Large Language Models (LLMs) and how do they work?","LLMs are neural networks trained on massive text datasets to understand and generate human language. They use transformer architecture with attention mechanisms to process sequences of text and predict the next token. Examples include GPT, BERT, and T5."
"AI/ML & GenAI Concepts","Explain the concept of embeddings in AI.","Embeddings are dense vector representations of text, images, or other data that capture semantic meaning. They map high-dimensional data to lower-dimensional space while preserving relationships. Used for similarity search, clustering, and as input to other ML models."
"AI/ML & GenAI Concepts","What is Retrieval-Augmented Generation (RAG)?","RAG combines retrieval of relevant information from a knowledge base with generative AI to produce more accurate and contextual responses. It retrieves relevant documents, adds them as context to prompts, and generates responses based on both the prompt and retrieved information."
"AI/ML & GenAI Concepts","What are vector databases and why are they important for AI applications?","Vector databases store and search high-dimensional vectors (embeddings) efficiently. They enable semantic search, similarity matching, and RAG systems. Popular options include Pinecone, Weaviate, Milvus, and Chroma. They use approximate nearest neighbor algorithms for fast retrieval."
"AI/ML & GenAI Concepts","Explain the concept of fine-tuning in AI models.","Fine-tuning adapts pre-trained models to specific tasks or domains by training them on task-specific data. It's more efficient than training from scratch and allows customization while leveraging pre-trained knowledge. Common techniques include LoRA (Low-Rank Adaptation) and full fine-tuning."
"AI/ML & GenAI Concepts","What is LoRA (Low-Rank Adaptation) in model fine-tuning?","LoRA is an efficient fine-tuning technique that freezes the original model weights and adds trainable low-rank matrices to specific layers. It reduces memory requirements and training time while maintaining performance. LoRA adapters can be easily swapped for different tasks."
"AI/ML & GenAI Concepts","What is DPO (Direct Preference Optimization) in AI training?","DPO is a training method that directly optimizes language models based on human preferences without requiring a separate reward model. It's simpler than RLHF (Reinforcement Learning from Human Feedback) and often performs better for aligning models with human preferences."
"AI/ML & GenAI Concepts","What is SFT (Supervised Fine-Tuning) in AI?","SFT is the process of fine-tuning pre-trained models on supervised datasets with input-output pairs. It's the first step in the alignment process, teaching the model to follow instructions and generate appropriate responses for specific tasks."
"AI/ML & GenAI Concepts","Explain the concept of prompting in AI.","Prompting is the technique of providing input text (prompts) to guide AI model behavior and output. Effective prompting includes clear instructions, examples, context, and formatting. Techniques include zero-shot, few-shot, chain-of-thought, and prompt engineering for better results."
"AI/ML & GenAI Concepts","What are AI model serving frameworks and why are they important?","Model serving frameworks like vLLM, Triton, and Ray provide infrastructure for deploying and scaling AI models in production. They handle model loading, inference optimization, batching, and serving APIs. They're crucial for low-latency, high-throughput AI applications."
"AI/ML & GenAI Concepts","What is vLLM and how does it optimize LLM serving?","vLLM is a high-throughput LLM serving engine that uses PagedAttention for efficient memory management and continuous batching for improved throughput. It supports various model architectures and provides RESTful APIs for easy integration with applications."
"AI/ML & GenAI Concepts","Explain the concept of model evaluation in AI.","Model evaluation measures AI model performance using metrics like accuracy, precision, recall, F1-score, BLEU, ROUGE, and human evaluation. It includes testing on held-out datasets, A/B testing, and continuous monitoring in production to ensure model quality and reliability."
"AI/ML & GenAI Concepts","What is the difference between training, validation, and test sets?","Training set: used to train the model. Validation set: used to tune hyperparameters and select best model during training. Test set: used for final evaluation after model selection. This separation prevents overfitting and provides unbiased performance estimates."
"AI/ML & GenAI Concepts","Explain overfitting and underfitting in machine learning.","Overfitting occurs when a model learns training data too well, including noise, and performs poorly on new data. Underfitting occurs when a model is too simple to capture underlying patterns. Solutions include regularization, more data, simpler models, and cross-validation."
"AI/ML & GenAI Concepts","What is cross-validation and why is it important?","Cross-validation splits data into multiple folds, training on some and testing on others iteratively. It provides more reliable performance estimates and helps detect overfitting. Common types include k-fold, stratified k-fold, and leave-one-out cross-validation."
"AI/ML & GenAI Concepts","Explain the bias-variance tradeoff in machine learning.","Bias is error from oversimplifying assumptions, while variance is error from sensitivity to small fluctuations in training data. High bias leads to underfitting, high variance leads to overfitting. The goal is to find the optimal balance between bias and variance."
"AI/ML & GenAI Concepts","What are hyperparameters in machine learning?","Hyperparameters are configuration settings that control the learning process but aren't learned from data. Examples include learning rate, batch size, number of layers, and regularization strength. They're typically set before training and can significantly impact model performance."
"AI/ML & GenAI Concepts","Explain gradient descent and its variants.","Gradient descent minimizes loss functions by iteratively updating parameters in the direction of steepest descent. Variants include batch gradient descent (uses all data), stochastic gradient descent (uses one sample), and mini-batch gradient descent (uses small batches)."
"System Design & Architecture","What is system design and why is it important?","System design is the process of defining architecture, components, modules, interfaces, and data flow for a system. It's important for scalability, maintainability, reliability, and performance. It helps plan for growth and ensures systems can handle increasing loads."
"System Design & Architecture","Explain the difference between monolithic and microservices architecture.","Monolithic architecture has all components in a single application, while microservices split functionality into independent services. Monoliths are simpler to develop and deploy but harder to scale. Microservices offer better scalability and fault isolation but add complexity."
"System Design & Architecture","What is horizontal vs vertical scaling?","Horizontal scaling (scaling out) adds more machines/servers to handle increased load. Vertical scaling (scaling up) increases resources (CPU, RAM) on existing machines. Horizontal scaling is generally more cost-effective and provides better fault tolerance."
"System Design & Architecture","Explain load balancing and its types.","Load balancing distributes incoming requests across multiple servers to improve performance and reliability. Types include round-robin, least connections, weighted, and geographic. Can be implemented at DNS, network, or application level."
"System Design & Architecture","What is a database sharding strategy?","Database sharding splits data across multiple databases based on a shard key. Strategies include range-based (by ID ranges), hash-based (by hash of key), and directory-based (lookup table). Improves performance and scalability but adds complexity to queries."
"System Design & Architecture","Explain caching strategies and their benefits.","Caching stores frequently accessed data in fast storage (memory) to reduce latency and database load. Strategies include write-through, write-behind, cache-aside, and refresh-ahead. Popular caching solutions include Redis, Memcached, and CDNs."
"System Design & Architecture","What is the CAP theorem?","CAP theorem states that in a distributed system, you can only guarantee two of three properties: Consistency (all nodes see same data), Availability (system remains operational), and Partition tolerance (system continues despite network failures). Most systems choose CP or AP."
"System Design & Architecture","Explain event-driven architecture.","Event-driven architecture uses events to trigger and communicate between services. Components publish events when state changes, and other components subscribe to relevant events. Benefits include loose coupling, scalability, and real-time processing capabilities."
"System Design & Architecture","What is API Gateway and its benefits?","API Gateway is a single entry point for client requests that routes to appropriate microservices. Benefits include authentication, rate limiting, request/response transformation, monitoring, and protocol translation. Examples include AWS API Gateway, Kong, and Zuul."
"System Design & Architecture","Explain database replication strategies.","Database replication creates copies of data across multiple servers. Master-slave replication has one write master and read replicas. Master-master allows writes to multiple masters. Improves availability, performance, and disaster recovery but requires conflict resolution."
"System Design & Architecture","What is circuit breaker pattern?","Circuit breaker prevents cascading failures by monitoring service calls and opening the circuit when failure rate exceeds threshold. States include closed (normal), open (failing), and half-open (testing recovery). Helps maintain system stability during partial outages."
"System Design & Architecture","Explain message queues and their use cases.","Message queues enable asynchronous communication between services. Producers send messages, consumers process them. Use cases include decoupling services, handling traffic spikes, and ensuring message delivery. Popular solutions include RabbitMQ, Apache Kafka, and AWS SQS."
"System Design & Architecture","What is containerization and how does it help?","Containerization packages applications with dependencies into lightweight, portable containers. Benefits include consistency across environments, resource efficiency, easy scaling, and simplified deployment. Docker is the most popular containerization platform."
"System Design & Architecture","Explain the 12-factor app methodology.","12-factor app is a methodology for building SaaS applications with principles like codebase in version control, explicit dependencies, configuration via environment variables, stateless processes, and disposable processes. Ensures portability and scalability."
"System Design & Architecture","What is service mesh and its benefits?","Service mesh provides infrastructure for service-to-service communication with features like load balancing, service discovery, security, and observability. It's implemented as a sidecar proxy alongside each service. Examples include Istio, Linkerd, and Consul Connect."
"System Design & Architecture","Explain database indexing strategies.","Database indexes improve query performance by creating data structures that allow faster data retrieval. Types include B-tree (most common), hash, bitmap, and full-text indexes. Considerations include query patterns, write performance impact, and storage overhead."
"System Design & Architecture","What is eventual consistency?","Eventual consistency means that given enough time, all replicas will converge to the same state without requiring immediate consistency. It's a trade-off between consistency and availability, commonly used in distributed systems where immediate consistency isn't critical."
"System Design & Architecture","Explain the difference between SQL and NoSQL databases.","SQL databases are relational with ACID properties, structured schemas, and complex queries. NoSQL databases are non-relational, schema-flexible, and optimized for specific use cases. Choose based on data structure, consistency requirements, and scalability needs."
"Cloud Infrastructure","What is cloud computing and its main service models?","Cloud computing delivers computing services over the internet. Main models: IaaS (Infrastructure as a Service) provides virtual machines and storage, PaaS (Platform as a Service) provides development platforms, SaaS (Software as a Service) provides complete applications."
"Cloud Infrastructure","Explain the benefits of cloud computing.","Benefits include cost reduction (pay-as-you-go), scalability (auto-scaling), reliability (redundancy), global reach, security (shared responsibility), and rapid deployment. Cloud providers handle infrastructure management, allowing focus on application development."
"Cloud Infrastructure","What are the main cloud providers and their key services?","Major providers: AWS (EC2, S3, Lambda, RDS), Google Cloud (Compute Engine, Cloud Storage, Cloud Functions), Azure (Virtual Machines, Blob Storage, Functions). Each offers compute, storage, networking, databases, and AI/ML services with different pricing and features."
"Cloud Infrastructure","What is Infrastructure as Code (IaC)?","IaC manages infrastructure through code rather than manual processes. Benefits include version control, consistency, repeatability, and automation. Popular tools include Terraform, CloudFormation, and Pulumi. Enables infrastructure to be treated like application code."
"Cloud Infrastructure","Explain auto-scaling in cloud environments.","Auto-scaling automatically adjusts resources based on demand. Types include horizontal (add/remove instances) and vertical (resize instances). Configured with metrics like CPU usage, memory, or custom metrics. Ensures optimal performance and cost efficiency."
"Cloud Infrastructure","What is serverless computing?","Serverless computing runs code without managing servers. Providers handle infrastructure, scaling, and maintenance. Pay only for execution time. Examples include AWS Lambda, Google Cloud Functions, and Azure Functions. Good for event-driven, stateless applications."
"Cloud Infrastructure","Explain cloud storage options and their use cases.","Object storage (S3, GCS) for files and backups, block storage (EBS) for databases, file storage (EFS) for shared filesystems. Choose based on access patterns, durability requirements, and cost. Object storage is most cost-effective for large amounts of data."
"Cloud Infrastructure","What is CDN (Content Delivery Network)?","CDN is a network of distributed servers that cache content closer to users. Benefits include reduced latency, improved performance, and reduced origin server load. Popular CDNs include CloudFlare, AWS CloudFront, and Google Cloud CDN."
"Cloud Infrastructure","Explain cloud security best practices.","Best practices include identity and access management (IAM), encryption at rest and in transit, network security (VPCs, security groups), regular security updates, monitoring and logging, and compliance with regulations. Follow the principle of least privilege."
"Cloud Infrastructure","What is cloud monitoring and observability?","Cloud monitoring tracks system performance, availability, and health. Key components include metrics (CPU, memory, requests), logs (application and system logs), and traces (request flow). Tools include CloudWatch, Stackdriver, and third-party solutions like Datadog."
"Cloud Infrastructure","Explain cloud networking concepts.","Cloud networking includes VPCs (Virtual Private Clouds) for isolated networks, subnets for IP address management, security groups for firewall rules, load balancers for traffic distribution, and VPNs for secure connections. Enables secure, scalable network architectures."
"Cloud Infrastructure","What is disaster recovery in the cloud?","Disaster recovery ensures business continuity during outages. Strategies include backup and restore, pilot light (minimal resources), warm standby (scaled-down environment), and multi-region active-active. Cloud providers offer tools for automated backup and recovery."
"Cloud Infrastructure","Explain cloud cost optimization strategies.","Strategies include right-sizing instances, using reserved instances for predictable workloads, spot instances for flexible workloads, auto-scaling, storage lifecycle policies, and monitoring usage. Regular cost reviews and optimization recommendations help control expenses."
"Cloud Infrastructure","What is multi-cloud and hybrid cloud?","Multi-cloud uses multiple cloud providers to avoid vendor lock-in and optimize costs. Hybrid cloud combines on-premises infrastructure with cloud services. Benefits include flexibility, risk mitigation, and cost optimization, but adds complexity in management."
"Cloud Infrastructure","Explain cloud migration strategies.","Migration strategies include rehosting (lift and shift), replatforming (lift and optimize), refactoring (rearchitect), and repurchasing (replace with SaaS). Choose based on business requirements, timeline, and technical constraints. Often involves a phased approach."
"Database & Vector Databases","What is a database and its main types?","A database is an organized collection of data. Main types: relational (SQL) with tables and relationships, NoSQL including document (MongoDB), key-value (Redis), column-family (Cassandra), and graph databases (Neo4j). Each optimized for different use cases."
"Database & Vector Databases","Explain ACID properties in databases.","ACID ensures reliable transactions: Atomicity (all or nothing), Consistency (valid state transitions), Isolation (concurrent transactions don't interfere), Durability (committed changes persist). Relational databases typically provide ACID guarantees, while NoSQL databases may relax some properties."
"Database & Vector Databases","What is database normalization?","Database normalization reduces redundancy by organizing data into related tables. Normal forms (1NF, 2NF, 3NF, BCNF) define rules for eliminating anomalies. Benefits include reduced storage, consistency, and easier maintenance, but may require more complex queries."
"Database & Vector Databases","Explain database indexing and its types.","Indexes improve query performance by creating data structures for faster data retrieval. Types include primary (unique, not null), secondary (non-unique), composite (multiple columns), and partial (subset of rows). Trade-off between query speed and storage/update overhead."
"Database & Vector Databases","What are database transactions and isolation levels?","Transactions group operations that must succeed or fail together. Isolation levels control visibility of changes: Read Uncommitted, Read Committed, Repeatable Read, Serializable. Higher isolation prevents anomalies but may reduce concurrency and performance."
"Database & Vector Databases","Explain database replication and its benefits.","Replication creates copies of data across multiple servers. Benefits include improved availability, performance (read scaling), and disaster recovery. Types include master-slave (one write master), master-master (multiple write masters), and peer-to-peer replication."
"Database & Vector Databases","What is database sharding?","Sharding splits data across multiple databases based on a shard key. Strategies include range-based (by ID ranges), hash-based (by hash of key), and directory-based (lookup table). Improves scalability but adds complexity to queries and transactions."
"Database & Vector Databases","What are vector databases and why are they important for AI?","Vector databases store and search high-dimensional vectors (embeddings) efficiently. They enable semantic search, similarity matching, and RAG systems. Use approximate nearest neighbor algorithms for fast retrieval. Essential for AI applications that need to find similar content."
"Database & Vector Databases","Explain popular vector database solutions.","Popular options include Pinecone (managed, easy to use), Weaviate (open-source, GraphQL API), Milvus (scalable, open-source), Chroma (lightweight, Python-focused), and Qdrant (Rust-based, high performance). Each has different features, pricing, and deployment options."
"Database & Vector Databases","What is semantic search and how do vector databases enable it?","Semantic search finds content based on meaning rather than exact keyword matches. Vector databases store embeddings that capture semantic meaning and enable similarity search. Users can find relevant content even with different wording or concepts."
"Database & Vector Databases","Explain vector similarity metrics.","Common metrics include cosine similarity (angle between vectors), Euclidean distance (straight-line distance), and dot product. Cosine similarity is popular for text embeddings as it's normalized and focuses on direction rather than magnitude."
"Database & Vector Databases","What is embedding and how is it generated?","Embeddings are dense vector representations that capture semantic meaning. Generated using neural networks like Word2Vec, GloVe, or transformer models (BERT, OpenAI embeddings). They map text, images, or other data to high-dimensional vectors that preserve relationships."
"Database & Vector Databases","How do you implement RAG with vector databases?","RAG implementation: 1) Generate embeddings for documents, 2) Store in vector database, 3) Generate embedding for user query, 4) Find similar documents, 5) Use retrieved documents as context for LLM, 6) Generate response. Vector database enables fast similarity search."
"Database & Vector Databases","What are the challenges of vector databases?","Challenges include high-dimensional data (curse of dimensionality), storage requirements, query performance at scale, and maintaining consistency. Solutions include dimensionality reduction, approximate algorithms, distributed architectures, and hybrid search approaches."
"Database & Vector Databases","Explain database connection pooling.","Connection pooling maintains a pool of database connections to avoid the overhead of creating/destroying connections for each request. Improves performance and resource utilization. Popular libraries include HikariCP (Java), psycopg2 (Python), and connection poolers like PgBouncer."
"Database & Vector Databases","What is database migration and version control?","Database migrations are versioned scripts that modify database schema and data. Tools like Alembic (Python), Flyway (Java), and Liquibase manage schema changes. Enables reproducible deployments, rollbacks, and team collaboration on database changes."
"Docker & Kubernetes","What is Docker and why is it important?","Docker is a containerization platform that packages applications with dependencies into lightweight, portable containers. Benefits include consistency across environments, resource efficiency, easy scaling, and simplified deployment. Essential for modern application development."
"Docker & Kubernetes","Explain the difference between Docker images and containers.","Docker images are read-only templates that define the application and its dependencies. Containers are running instances of images. Images are built from Dockerfiles and stored in registries. Containers are created from images and can be started, stopped, and deleted."
"Docker & Kubernetes","What is a Dockerfile and how do you write one?","A Dockerfile contains instructions to build a Docker image. Key instructions: FROM (base image), RUN (execute commands), COPY/ADD (copy files), WORKDIR (set working directory), EXPOSE (document ports), CMD/ENTRYPOINT (default command). Best practices include multi-stage builds and minimal base images."
"Docker & Kubernetes","Explain Docker volumes and their use cases.","Docker volumes provide persistent storage for containers. Types include named volumes (managed by Docker), bind mounts (host filesystem), and tmpfs mounts (memory). Use cases include database storage, configuration files, and sharing data between containers."
"Docker & Kubernetes","What is Docker Compose and when to use it?","Docker Compose defines multi-container applications using YAML files. Useful for development environments, testing, and simple deployments. Manages services, networks, and volumes. Commands include docker-compose up, down, build, and logs for managing the application stack."
"Docker & Kubernetes","What is Kubernetes and why is it important?","Kubernetes is a container orchestration platform that automates deployment, scaling, and management of containerized applications. Benefits include high availability, auto-scaling, service discovery, load balancing, and rolling updates. Essential for production container deployments."
"Docker & Kubernetes","Explain Kubernetes architecture and main components.","Kubernetes cluster consists of master nodes (control plane) and worker nodes. Master components: API server, etcd, scheduler, controller manager. Worker components: kubelet, kube-proxy, container runtime. Master manages the cluster, workers run applications."
"Docker & Kubernetes","What are Kubernetes pods and how do they work?","Pods are the smallest deployable units in Kubernetes, containing one or more containers that share network and storage. Containers in a pod run on the same node and can communicate via localhost. Pods are ephemeral and get new IPs when recreated."
"Docker & Kubernetes","Explain Kubernetes services and their types.","Services provide stable network access to pods. Types: ClusterIP (internal access), NodePort (external access via node port), LoadBalancer (cloud load balancer), ExternalName (external service). Services enable service discovery and load balancing."
"Docker & Kubernetes","What are Kubernetes deployments and why use them?","Deployments manage replica sets and provide declarative updates to applications. Features include rolling updates, rollbacks, scaling, and self-healing. They ensure desired number of pod replicas are running and handle pod failures automatically."
"Docker & Kubernetes","Explain Kubernetes ConfigMaps and Secrets.","ConfigMaps store non-sensitive configuration data, while Secrets store sensitive data like passwords and API keys. Both can be mounted as volumes or environment variables. Secrets are base64 encoded but not encrypted by default."
"Docker & Kubernetes","What is Kubernetes ingress and how does it work?","Ingress provides HTTP/HTTPS routing to services within the cluster. It acts as an entry point and can handle SSL termination, load balancing, and path-based routing. Requires an ingress controller like NGINX, Traefik, or cloud-specific controllers."
"Docker & Kubernetes","Explain Kubernetes namespaces and their benefits.","Namespaces provide virtual clusters within a physical cluster, enabling resource isolation and organization. Benefits include resource quotas, access control, and logical separation. Default namespaces include default, kube-system, and kube-public."
"Docker & Kubernetes","What are Kubernetes persistent volumes?","Persistent volumes provide storage that persists beyond pod lifecycle. Types include static (pre-created) and dynamic (provisioned on demand). Persistent volume claims (PVCs) request storage with specific size and access modes. Essential for stateful applications."
"Docker & Kubernetes","Explain Kubernetes health checks and probes.","Health checks ensure application reliability: liveness probes (restart unhealthy containers), readiness probes (traffic routing), startup probes (initial startup). Types include HTTP, TCP, and command probes. Configure appropriate timeouts and thresholds."
"Docker & Kubernetes","What is container registry and how do you use it?","Container registries store and distribute Docker images. Popular options include Docker Hub, AWS ECR, Google GCR, and Azure ACR. Use docker push/pull commands or Kubernetes image pull secrets for private registries. Essential for image distribution and versioning."
"Problem Solving & Debugging","What is debugging and what are common debugging techniques?","Debugging is the process of finding and fixing errors in code. Techniques include print statements/logging, breakpoints in debuggers, unit testing, code review, rubber duck debugging, and systematic elimination. Use appropriate tools for your programming language and environment."
"Problem Solving & Debugging","Explain the debugging process and best practices.","Debugging process: 1) Reproduce the issue, 2) Gather information (logs, error messages), 3) Form hypotheses, 4) Test hypotheses systematically, 5) Fix the issue, 6) Test the fix, 7) Document the solution. Best practices include using version control, writing tests, and keeping detailed logs."
"Problem Solving & Debugging","What are common types of bugs in software development?","Common bug types include syntax errors (compilation issues), logic errors (incorrect algorithms), runtime errors (exceptions), memory leaks, race conditions, off-by-one errors, null pointer exceptions, and integration issues. Each requires different debugging approaches."
